Sl__No,Name,Type,Place,Taluk,District,Location,Latitude,Longitude,Orientation,Dedication,Period,AD_BC,Style,M_Used,Description,Source,Department,PDFLink,ImageURL,iconUrl
1,Eshwara temple,Temple,Bilagai,Mudol,Bagalkote,Adjacent to the Village,16.385083,75.150808,East,Shiva,12th Century,AD,Later Chalukyan,Black Stone,The temple consists of a garbhagraha  antarala and sabhamandapa. The garbhagraha and antarala have decorated doorframes. The antarala is flanked by jalavatayanas. The interior of the sabhamandapa has four free standing pillars. The temple is surrounded by a large prakara wall. On its either side are small temples of Virabhadra and Parvati. On the staircase of the mukhamandapa is Marathi inscription.,Govt. Of Karnataka; 1999  Bijapaur District Gazetteer  (Including Bagalkote District  In Kannada) Govt. Press  Bangalore.,Department of Archaeology  Museums and Heritage  Mysuru,images/Bagalkote/pdfs/Eshwara Temple Sl No. 1.pdf,images/Bagalkote/Eshwara Temple Sl No. 1.jpg,images/temple_.png
2,Hanuman temple,Temple,Kundaragi,Bilagi,Bagalkote,Inside the Village,16.238933,75.545751,South,Hanuman,NA,AD,NA,NA,The village has an open fronted temple of Hanumantha with square stone pillars with chamfered sides.,,Department of Archaeology  Museums and Heritage  Mysuru,images/Bagalkote/pdfs/Hanumantha Temple Sl No. 2.pdf,images/Bagalkote/Hanumantha Temple Sl No. 2.jpg,images/temple_.png
3,Shiva temple,Temple,Kundaragi,Bilagi,Bagalkote,Inside the Village,16.239063,75.543341,East,Shiva,NA,AD,NA,NA,NA,,Department of Archaeology  Museums and Heritage  Mysuru,images/Bagalkote/pdfs/Shiva Temple Sl No. 4.pdf,images/Bagalkote/Shiva Temple Sl No. 3.jpg,images/temple_.png
4,Hanumantha Temple,Temple,Galgali,Bilagi,Bagalkote,Inside the Village,16.41885,75.43869,North,Hanuman,NA,AD,NA,NA,NA,,Department of Archaeology  Museums and Heritage  Mysuru,images/Bagalkote/pdfs/Hanuman Temple Sl No. 5.pdf,images/Bagalkote/Hanuman Temple Sl No. 4.jpg,images/temple_.png
5,Siddeshwara Temple,Temple,Belagi,Bilagi,Bagalkote,Outside the Village with in the Village Boundary,16.336436,75.610504,North,Shiva,NA,AD,NA,NA,NA,,Department of Archaeology  Museums and Heritage  Mysuru,images/Bagalkote/pdfs/Siddeshwara Temple Sl No. 3.pdf,images/Bagalkote/Siddeshwara Temple Sl No. 5.jpg,images/temple_.png
6,Lakshminarayana temple,Temple,Siruru,Bagalkote,Bagalkote,Inside the Village,16.098076,75.782234,East,Vishnu,12th Century,AD,Early Chalukyan,Black Stone,This dvikuta temple faces east. It comprises two garbhagraha  antarala a common sabhamandapa and a mukhamandapa. In the main garbhagraha is a Lakshminarayana sculpture. The doorframe of the garbhagraha is saptasakha. The pedya pinda displays reverie goddesses Ganga and Yamuna. The other garbhagraha contains a sculpture of Surya. Inside the sabhamandapa are four free standing pillars.,Kulkarni B. A; 2000 Bagilukote Pradesada Kelau Devalayagalu Mattu Sasangala Vyasanga (In Kannada)  M.A. Dissertation  Karnataka University  Dharwad.,Department of Archaeology  Museums and Heritage  Mysuru,images/Bagalkote/pdfs/Lakshminarayana Temple Sl No. 7.pdf,images/Bagalkote/Lakshminarayana Temple Sl No. 7.jpg,images/temple_.png
7,Ramalinga temple,Temple,Siruru,Bagalkote,Bagalkote,Inside the Village,16.098038,75.782072,East,Shiva,12th Century,AD,Later Chalukyan,Black Stone,The temple consists of a garbhagraha  an antarala and a sabhamandapa. The garbhagraha contains a Sivalinga. The garbhagraha has simple doorframes. In the sabhamandapa are four free standing pillars. The sculptures of Ganesha and Tirthankara are kept in to sabhamandapa. Over the garbhagraha is a Kadambanagara or phamsana sikhara. On stylistic grounds the temple may belong to 11th? 12th century. A. D.,Kulkarni B. A; 2000 Bagilukote Pradesada Kelau Devalayagalu Mattu Sasangala Vyasanga (In Kannada)  M.A. Dissertation  Karnataka University  Dharwad.,Department of Archaeology  Museums and Heritage  Mysuru,images/Bagalkote/pdfs/Ramalinga Temple Sl No. 8.pdf,images/Bagalkote/Ramalinga Temple Sl No. 7.jpg,images/temple_.png
8,Malayappa Tomb,Tomb,Gaddanakeri,Bagalkote,Bagalkote,Adjacent to the Village,16.179604,75.629298,North,NA,16th  Century,AD,Indo Islamic  Adil Shahi,Black Stone Deccan Trap,This tomb belongs to a Hindu saint Maliyappa. The tomb has a small door. Its doorframe has five vertical bands. In the lalatabimba is an Anjaneya Motif. Over the tomb at the centre is a dome and all the four corners are minarets. Above these minarets are stupi (Guladasta). Inside the tomb is a podium and small kosthas in the walls.,Yavagal Dayanand M. 1998  Bagalakot Talukkina Vastu Shilpa Adhyayana (In Kannada) M.Phil. Dessertation  Karnataka University  Dharwad.,Department of Archaeology  Museums and Heritage  Mysuru,images/Bagalkote/pdfs/Malayappa Tomb Sl No. 10.pdf,images/Bagalkote/Malayappa Tomb Sl No. 8.jpg,images/tomb.png
9,Monappa Tomb,Tomb,Gaddanakeri,Bagalkote,Bagalkote,Adjacent to the Village,16.179195,75.63025,North,NA,16th  Century,AD,Indo Islamic  Adil Shahi,Black Stone Deccan Trap,The tomb is octagonal on plan. It stands on an adhisthana. On each face of the exterior wall is an arch and small kostha. A Padma is carved in the lalatabimba of the doorframe. Inside the tomb is a square podium on a high platform.,Yavagal Dayanand M. 1998  Bagalakot Talukkina Vastu Shilpa Adhyayana (In Kannada) M.Phil. Dessertation  Karnataka University  Dharwad.,Department of Archaeology  Museums and Heritage  Mysuru,images/Bagalkote/pdfs/Monappa Tomb Sl No. 9.pdf,images/Bagalkote/Monappa Tomb Sl No. 9.jpg,images/tomb.png
10,Eshwara temple,Temple,Mankni,Bagalkote,Bagalkote,Inside the Village,16.289676,75.967496,West,Shiva,NA,AD,NA,NA,NA,Karidurganavr Y. B; 2000  Kerur Pradeshda Vastu Shilpa Kale Ondu Adhayayana (In Kannada)  M. A. Dissertation  Karnataka University  Dharwad.,Department of Archaeology  Museums and Heritage  Mysuru,images/Bagalkote/pdfs/Eshwara Temple Sl No. 6.pdf,images/Bagalkote/Eshwara Temple Sl No. 10.jpg,images/temple_.png
