SL_no,Name,Place,Taluk,District,Location,Latitude,Longitude,Classification,Category,Orientation,Dedication,Period,AD_BC,Dynastic,Style,Material,Description,SculptorArtist,Paintings,PublishedBy,Protected_by,PDFLink,ImageURL,iconUrl
1,Basavanna Temple,Balligere,Athani,Belagavi,Adjacent to the Village,16.857621,75.140008,NA,NA,East,NA,12th Century ,AD,NA,Later Chalukyan,Black Stone,This trikuta temple consists of three garbhagrahas each with an antarala and a common sabhmandapa. In each garbhagraha is a Sivalinga. Inside the sabhmandapa are four pillars. There are four hero stones two inscriptions slabs and a Surya image all fixed into the wall. The temple seems to be originally dedicated to god Narasimha. The sabhmandapa has an inscription which records the grant of village Umbaravani to the god Narasimha,NA,NA,Govt. Of Karnataka 1987 Belgaum District Gazetteer Govt.  Press Bangalore.,Department of Archaeology Museums and Heritage Mysuru,images/Belagavi/Pdfs/Basavanna Temple Sl No. 1.pdf,images/Belagavi/Basavanna Temple Sl No. 1.jpg,images/temple_.png
2,Brammanatha temple,Kagwad,Kagawad,Belagavi,Adjacent to the Village,16.691403,74.719792,NA,NA,East,NA,12th Century ,AD,NA,Later Chalukyan,Black Stone,This east-facing temple is completely renovated. It consists of a garbhagraha and sabhamandapa. In the garbhagraha is a sculpture of Kaggudarayanna in somabhanga and Kalikadevi which is decorated with ornaments,NA,NA,Govt. Of Karnataka; 1987 Belgaum District Gazetteer Govt. Press Bangalore.,Department of Archaeology Museums and Heritage Mysuru,images/Belagavi/Pdfs/Brahmanatha Temple Sl No. 2.pdf,images/Belagavi/Brahmanatha Temple Sl No. 2.jpg,images/temple_.png
3,Kashilinga temple,sapthasagar,Athani,Belagavi,Inside the Village,16.633433,74.952142,NA,NA,East,NA,14-15th Century ,AD,NA,Later Chalukyan,Black Stone,This is a trikuta temple. Only the east facing garbhagraha has an antarala Sivalinga is enshrined in all the three garbrhagrahas. In the sabhamandapa are six free standing pillars? The sabhamandapa has a decorated door frame. Outside the temple is a hero-stone.  ,NA,NA,GOVT. OF KARNATAKA; 1987 BELGAUM DISTRICT GAZETTEER GOVT. PRESS BANGALORE.,Department of Archaeology Museums and Heritage Mysuru,images/Belagavi/Pdfs/Kashilinga temple Sl No. 3.pdf,images/Belagavi/Kashilinga temple Sl No. 3.jpg,images/temple_.png
4,Mallayya Temple,Mangsuli,Kagawad,Belagavi,Adjacent to the Village,16.739408, 74.818304,NA,NA,East,NA,14-15th Century ,AD,NA,Vijayanagara,Deccan Trap  ,This dvikuta temple has a huge nagarkhane at the entrance with a tall tower. The main garbhagraha has an image of mallaiah and to its right is the small garbhagraha of malachi. Over the garbhagraha is a modern sikhara. The mandapa has an image of Kalyala Siddha.,NA,NA,Govt. Of Karnataka; 1987 Belgaum District Gazetteer Govt. Press Bangalore.,Department of Archaeology Museums and Heritage Mysuru,images/Belagavi/Pdfs/Mallayya Temple Sl No. 4.pdf,images/Belagavi/Mallayya Temple Sl No. 4.jpg,images/temple_.png
5,Mallikarjuna Temple,Nandgona,Athani,Belagavi,Adjacent to the Village,16.679416,75.127553,NA,NA,East,NA,11-12th Century,AD,NA,Later Chalukyan,Deccan Trap  ,This trikuta temple comprises three garbhagrahas each with an antarala a common sabhamandapa and a mukhamandapa. In the lalata bimba of the garbhagraha doorframes is tiny Ganapati and Vishnu respectively. Above the garbhagraha entrance is a sculpture of Nataraja with Asta-Dikpalas and Makaratoranas. The antarala has jalavatayanas.  ,NA,NA,Govt. Of Karnataka; 1987 Belgaum District Gazetteer Govt. Press Bangalore.,Department of Archaeology Museums and Heritage Mysuru,images/Belagavi/Pdfs/Mallikarjuna Temple Sl No. 5.pdf,images/Belagavi/Mallikarjuna Temple Sl No. 5.jpg,images/temple_.png
6,Phir khasi tomb,Ainapur,Kagawad,Belagavi,Adjacent to the Village,16.666705,74.897836,NA,NA,NA,NA,17-18th Century ,AD,NA,NA,Black Stone,The place has a dargha ascribed to Sayed Ummer Quadri. The Urus is held three days following Bakrid.,NA,NA,Govt. Of Karnataka 1987 Belgaum District Gazetteer Govt.  Press Bangalore.  ,Department of Archaeology Museums and Heritage Mysuru,images/Belagavi/Pdfs/Phir khasi tomb Sl No. 6.pdf,images/Belagavi/Phir khasi tomb Sl No. 6.jpg,images/tomb.png
7,Rameshwara temple,Ramthirtha,Athani,Belagavi,Inside the Village,16.855403,75.260266,NA,NA,East,NA,12th Century ,AD,NA,Later Chalukyan,Black Stone,The temple comprises three garbhagrahas each with an antarala a common sabhamandapa and a mukhamandapa. There are four free standing pillars in the sabhamandapa. The ceiling has a deep Bhuvanesvari with Asta-Dikpalas. At the main entrance of the sabhamandapa are two dvarapalas. The mukhamandapa has a kaksasana. The exterior of the kaksasana is decorated with mythological and other themes. The exterior walls of the garbhagraha and sabhamandapa are decorated with richly carved sculptures. Over the main garbhagraha is a renovated Kadambanagar sikhara. There are two inscription slabs kept outside the entrance to the sabhamandapa. One of them dated 1167 speaks of a grant of land from Sindevura to Rameshwara in the days of Bijjala.,NA,NA,Govt. Of Karnataka 1987 Belgaum District Gazetteer Govt.  Press Bangalore.  ,Department of Archaeology Museums and Heritage Mysuru,images/Belagavi/Pdfs/Rameshwara temple Sl No. 7.pdf,images/Belagavi/Rameshwara temple Sl No. 7.jpg,images/temple_.png
8,Siddarameshwara temple,Athani,Athani,Belagavi,With in the Town,16.72770167, 75.073948,NA,NA,South,NA,14-15th Century ,AD,NA,Indo Islamic,Black Stone deccan trap,The temple comprises a garbhagraha an open – antarala a navaranga and a mukhamandapa. The temple is in Islamic style. The exterior of the temple is uninteresting. The temple has a prakara.,NA,NA,Kamble V.N; 2002 Anthani Pradesada Ondu Sanskritika Addhyayana M.Phil Dissertation (In Kannada) Karnataka University Dharwad.,Department of Archaeology Museums and Heritage Mysuru,images/Belagavi/Pdfs/Siddarameshwara temple Sl No. 8.pdf,images/Belagavi/Siddarameshwara temple Sl No. 8.jpg,images/temple_.png
9,Tomb,Degulahalli,Athani,Belagavi,Adjacent to the Village,16.587515, 75.15644,NA,NA,NA,NA,17-18th Century ,AD,NA,Indo Islamic,Black Stone,The place has a dargah of Imam Jaffar the urus at which is held at Davanada Hunnime.,NA,NA,Govt. Of Karnataka 1987 Belgaum District Gazetteer Govt.  Press Bangalore.  ,Department of Archaeology Museums and Heritage Mysuru,images/Belagavi/Pdfs/Tomb Sl No. 9.pdf,images/Belagavi/Tomb Sl No. 9.jpg,images/tomb.png
10,Yellamma Temple ,Kokkatnuru,Athani,Belagavi,Inside the Village,16.693791,75.238645,NA,NA,East,NA,17-18th Century ,AD,NA,Vijayanagara,Deccan Trap  ,The temple faces east. It has a garbhagraha only. In the garbhagraha is a sculpture of Yallamma. The garbhagraha has a small doorway. Over the garbhagraha is a modern shikhara. It is decorated with sculptures of Lakshmi Saraswati and Ganesha. In front of the temple is a light pillar. According to a local legend the temple may have been built by Dadasaheb of Jatta province in Maharashtra.,NA,NA,Badagi Y. S 1992 Kokatanur Yellamma Ondu Addhyayana (In Kannada) M.Phil. Theses Karnataka University Dharwad.,Department of Archaeology Museums and Heritage Mysuru,images/Belagavi/Pdfs/Yellamma Temple Sl No. 10.pdf,images/Belagavi/Yellamma Temple Sl No. 10.jpg,images/temple_.png
