SL_no,Name,Place,Taluk,District,Latitude,Longitude,Class,Orientation,Dedication,Period,AD_BC,Dynastic ,Style,Material,Description,Pub_Source,Importance,Protected ,PDFLink,ImageURL,iconUrl
1,Sri Eshwara Temple,Sidenuru,Byadagi,Haveri,14.634486,75.443048,Living Temple,East,Shiva,C 11-12th Century A.D,AD,Hoysala,Later Chalukya,Dolerite schist,"This is a trikuta temple. It comprises three garbhagrahas an antarala and a sabhamandapa. The east facing main garbhagraha houses a sivalinga. In its lalatabimba is a Gajalakshmi motif. Another garbhagraha enshrined   an icon of Veerabhadra. The third garbhadraha is empty. On either side of the antarala door are jalandharas. Four freestanding pillars in the sabhmandapa uphold its bhuvasnesvari. Sculptures of Ganapati, Chamundi and Saptamatrika Panels are kept in the deva Koshtas.","Govt. Of Karnataka, 1995, Dharwad District Gazetteer (In Kannada) Govt. Press, Bangalore.",Religious,"State Department of Archaeology and Museums, Mysore",images/Haveri/pdfs/Eshwara Temple Sidenur Sl No. 1.pdf,images/Haveri/Eshwara Temple Sidenur Sl No 1.jpg,images/temple_.png
2,Sri Kalahasteshwara Temple,Kaginelli,Byadagi,Haveri,14.693372,75.356552,Living Temple,East,Shiva,C 11-12th century A.D,AD,,Chalukyan / Hoysala,Stone,This temple consists of a garbhagraha an antarala and a sabhamandapa. A Sivalinga is enshrined in the garbhagraha. Four freestanding pillars in the sabhamandapa hold up its bhuvanesvari of the central ceiling. In the sabhamandapa a Nandi and a goddess sculpture. The temple has entrance at the south. It has a trisakha door frame. The temple has superstructure and Kalas. This temple has been completely renovated.,"Mahadev C. Et. Al; 1999, Karnataka Devalaya Kosha, Haveri Jille (In Kannada), Prasaranga, Kannada University, Hampi.",Archaeological,"State Department of Archaeology and Museums, Mysore",images/Haveri/pdfs/Sri Kalahasteshwara Temple Kaginelli Bydagi Sl No. 2.pdf,images/Haveri/Sri Kalahasteshwara Temple Kaginelli Bydagi Sl No 2.jpg,images/temple_.png
3,Sir Maruthi Temple,Kadaramandalagi,Byadagi,Haveri,14.643636,75.517461,Living temple,East,Maruthi,C 17th century A.D,AD,,Post Vijayanagara,,The temple has a recently constructed dravida style super structure. The entrance door way to the temple has a gopura. There are dvajasthambas and dipasthambas in front of the temple.,"Mahadev C. Et. Al; 1999, Karnataka Devalaya Kosha, Haveri Jille (In Kannada), Prasaranga, Kannada University, Hampi.",Archaeological,"State Department of Archaeology and Museums, Mysore",images/Haveri/pdfs/Sri Maruthi Temple Sl No. 3.pdf,images/Haveri/Sri Maruthi Temple Sl No. 3.jpg,images/temple_.png
4,Sri Sangameshwara temple,Kaginelli,Byadagi,Haveri,14.692359,75.357065,Living Temple,East,Ishwara,16th Century A.D,AD,,Indo Islamic,Dolarite schist,This temple is sacred for Hindus as well as Muslims. In the temple is a throne called Sangamesvara gadduge by Hindus. Whereas Muslim call this temple Adamshipidarga.  This temple is built in Indo-Islamic style. Every year jatra is held on the occasion of Sivaratri.,"Govt. Of Karnataka, 1995, Dharwad District Gazetteer (In Kannada) Govt. Press, Bangalore.",Archaeological,"State Department of Archaeology and Museums, Mysore",images/Haveri/pdfs/Sangameshwara Temple Sl No. 4.pdf,images/Haveri/Sangameshwara Temple Sl No. 4.jpg,images/temple_.png
5,Sri Veerabadra and SomeshwaraTemple,Kaginelli,Byadagi,Haveri,14.69405,75.358533,Living Temple,North,Ishwara,C 12th century A.D,AD,Hoysala,Chalukyan,Dolarite schist,"This temple consists of a garbhagraha an ardhamandapa and a mukhamandapa. The garbhagraha enshirned a Veerabhadra idol. In the ardhamandapa are two free standing pillars? A Ganapati sculpture and a saptamatrika panel are placed in the ardhamandapa. The mukhamandapa has Jalandharas. The brick superstructure of the temple is worn out. 
      An inscription in front of the temple records that, Manneya Kaliyarasa of Basavru made a land grant to Kalesvara temple.","Mahadev C. Et. Al; 1999, Karnataka Devalaya Kosha, Haveri Jille (In Kannada), Prasaranga, Kannada University, Hampi.
Someshwara temple :  Govt. Of Karnataka, 1995, Dharwad District Gazetteer (In Kannada), Govt. Press, Bangalore.",Archaeological,"State Department of Archaeology and Museums, Mysore",images/Haveri/pdfs/Sri Veerabhadra and Someshwara Temple Sl No. 5.pdf,images/Haveri/Sri Veerabhadra and Someshwara Temple Sl No. 5.jpg,images/temple_.png
6,Unique Megalithic structure,Motebennur,Byadagi,Haveri,14.716116,75.479237,Non Living Temple,East,,12th century A.D,AD,,,Stone,,,Archaeological,"State Department of Archaeology and Museums, Mysore",images/Haveri/pdfs/Unique Megalithic Structure Sl No. 6.pdf,images/Haveri/Unique Megalithic Structure Sl No. 6.jpg,images/inscriptions.png
7,Sri Santeshwara Temple,Thiluvalli,Hanagal,Haveri,14.62531,75.230648,Living Temple,East,Shiva,C 12-13th Century A.D,AD,Hoysala,Later Chalukyan,Dolerite Schist,"This temple consists of a garbhagraha an antarala and a sabhamamdapa. The garbhagraha doorframe is decorated. There are dvarapalas on either side of it. A Nandi in the antarala is facing the Sivalinga in the garbhagraha. The antarala has a decorated doorframe. On either side of it are dvarapalas. A Trimutri sculpture is in the lalatabimba. On either side of the doorframe are Jalandharas. Four kosthas in the mandapa have sculptures of saptamatraka, Chamundi, Bhairavi and ladies playing Veena respectively. The exterior walls of the Kakshasana contain pilasters and amorous sculptures. The garbhageraha the antarala and the sabhamandapa have Bhuvanesvari. Over the garbhagraha is a trital viman.","Mahadev C. Et. Al; 1999, Karnataka Devalaya Kosha, Haveri Jille (In Kannada), Prasaranga, Kannada University, Hampi.",Archaeological,"State Department of Archaeology and Museums, Mysore",images/Haveri/pdfs/Sri Santeshwara Temple Sl No. 7.pdf,images/Haveri/Sri Santeshwara Temple Sl No. 7.jpg,images/temple_.png
8,Sri Rameshwara Temple,Yalavatti,Hanagal,Haveri,14.865447,75.136234,Living Temple,East,Shiva,C 11-12th Century A.D,AD,Hoysala,Later Chalukyan,Dolerite Schist,"It consists of a garbhagraha an antarala and a sabhamandapa. A huge Sivalinga is enshrined in the garbhagraha. At the entrance of the antarala are two pillars. On these two pillars is a Makara torana panel. A Nandi, Mahisamardini, Bhairava, Surya, Saptamatraka panel, and many other sculptures are in the sabhamandapa.  The Bhuvaneshvari of the sabhamandapa his decorated with Padma motif. The sabhamandapa has entrances on the south and east. On either side of the temple entrance are elephant balustrades.","Mahadev C. Et. Al; 1999, Karnataka Devalaya Kosha, Haveri Jille (In Kannada), Prasaranga, Kannada University, Hampi.",Archaeological,"State Department of Archaeology and Museums, Mysore",images/Haveri/pdfs/Sri Rameshwara Temple Sl No. 8.pdf,images/Haveri/Sri Rameshwara Temple Sl No. 8.jpg,images/temple_.png
9,Sri Lakshmi temple,Kalakeri,Hanagal,Haveri,14.712671,75.262259,Living temple,East,Lakshminarayana,C 12-13th century A.D,AD,,Later Chalukyan,Dolerite Schist,,,Archaeological,"State Department of Archaeology and Museums, Mysore",images/Haveri/pdfs/Sri Lakshmi temple Sl No. 9.pdf,images/Haveri/Sri Lakshmi temple Sl No. 9.jpg,images/temple_.png
10,Sri Someshwara temple,Kalakeri,Hanagal,Haveri,14.714557,75.263208,Living temple,South,Shiva,12-13th Century A.D,AD,Hoysala,Later Chalukyan,Dolerite Schist,"This temple is in ruins. Only the garbhagrha has remained. Its antiquities and sculptures of Nandi. Hero stone, Ganapati and Chamund are spread around the temple.","Mahadev C. Et.Al.  1999, Karnatak Devalayagal Kosha, Haveri Jille (In Kannada) Prasaranga Kanada University, Hampi.",Archaeological,"State Department of Archaeology and Museums, Mysore",images/Haveri/pdfs/Sri Someshwara Temple Sl No. 10.pdf,images/Haveri/Sri Someshwara Temple Sl No. 10.jpg,images/temple_.png
